IdLocalSap;CodigoMaterial;Departamento;Ean13;DigitoVerificador;Jerarquia;Pesable;Fraccionable;UnidadMedida;DescripcionCorta;DescripcionLarga;PrecioFlejes;ImportePPUMS;Impuesto;IdMarca;TipoBarra ;UnidadMedidaFlejes;TimeStampActualizacion
J512;995755;28;2493848;8;280401008;1;0;UN;GUICHE ESPR220GR;*GUICHE PUERRO. ESPÌÅRRAGO PEQUEÌÔA 220GR;999999;4545450;1;9999;BC;KG;2018-07-25T17:52:34
J512;995755;28;209000132892;8;280401008;0;0;UN;GUICHE ESPR220GR;*GUICHE PUERRO. ESPÌÅRRAGO PEQUEÌÔA 220GR;999999;4545450;1;9999;IE;KG;2018-07-25T16:53:47
J512;995756;28;780875530003;0;280401008;0;0;UN;GUICHE ESPR620GR;*GUICHE PUERRO. ESPARRAGO MEDIANA 620GR;99999;161288,71;1;2715;HE;KG;2018-07-26T13:41:37
J512;995756;28;209000132893;5;280401008;0;0;UN;GUICHE ESPR620GR;*GUICHE PUERRO. ESPARRAGO MEDIANA 620GR;99999;161288,71;1;2715;IE;KG;2018-07-26T13:41:37
J512;995756;28;2493847;1;280401008;1;0;UN;GUICHE ESPR620GR;*GUICHE PUERRO. ESPARRAGO MEDIANA 620GR;99999;161288,71;1;2715;BC;KG;2018-07-26T13:45:46
J512;995757;28;2493846;4;280401008;1;0;UN;GUICHE SERQU220GR;*GUICHE SERRANO. QUESO PEQUEÌÔA 220GR;999999;4545450;1;9999;BC;KG;2018-07-25T17:52:34
J512;995757;28;209000132894;2;280401008;0;0;UN;GUICHE SERQU220GR;*GUICHE SERRANO. QUESO PEQUEÌÔA 220GR;999999;4545450;1;9999;IE;KG;2018-07-25T16:53:47
J512;995758;28;780875530005;4;280401008;0;0;UN;GUICHE SERQUE620GR;*GUICHE SERRANO. QUESO MEDIANA 620GR;99999;161288,71;1;2715;HE;KG;2018-07-26T13:41:37
J512;995758;28;209000132895;9;280401008;0;0;UN;GUICHE SERQUE620GR;*GUICHE SERRANO. QUESO MEDIANA 620GR;99999;161288,71;1;2715;IE;KG;2018-07-26T13:41:37
J512;995758;28;2494156;3;280401008;1;0;UN;GUICHE SERQUE620GR;*GUICHE SERRANO. QUESO MEDIANA 620GR;99999;161288,71;1;2715;BC;KG;2018-07-26T13:45:46
